Layer 0:
  Brick at (x=23, y=47, z=1) size=(1x1)
  Brick at (x=45, y=48, z=1) size=(1x1)
  Brick at (x=39, y=52, z=1) size=(1x1)
Layer 2:
  Brick at (x=28, y=10, z=2) size=(4x2)
  Brick at (x=32, y=10, z=2) size=(4x2)
  Brick at (x=36, y=11, z=2) size=(4x2)
  Brick at (x=23, y=12, z=2) size=(4x2)
  Brick at (x=27, y=12, z=2) size=(4x2)
  Brick at (x=31, y=12, z=2) size=(4x2)
  Brick at (x=35, y=13, z=2) size=(4x2)
  Brick at (x=39, y=13, z=2) size=(4x2)
  Brick at (x=20, y=14, z=2) size=(4x2)
  Brick at (x=24, y=14, z=2) size=(4x2)
  Brick at (x=28, y=14, z=2) size=(4x2)
  Brick at (x=32, y=15, z=2) size=(4x2)
  Brick at (x=36, y=15, z=2) size=(4x2)
  Brick at (x=40, y=15, z=2) size=(4x2)
  Brick at (x=18, y=16, z=2) size=(4x2)
  Brick at (x=22, y=16, z=2) size=(4x2)
  Brick at (x=26, y=16, z=2) size=(4x2)
  Brick at (x=30, y=17, z=2) size=(4x2)
  Brick at (x=34, y=17, z=2) size=(4x2)
  Brick at (x=38, y=17, z=2) size=(4x2)
  Brick at (x=42, y=17, z=2) size=(4x2)
  Brick at (x=16, y=18, z=2) size=(4x2)
  Brick at (x=20, y=18, z=2) size=(4x2)
  Brick at (x=24, y=18, z=2) size=(4x2)
  Brick at (x=28, y=19, z=2) size=(4x2)
  Brick at (x=32, y=19, z=2) size=(4x2)
  Brick at (x=36, y=19, z=2) size=(4x2)
  Brick at (x=40, y=19, z=2) size=(4x2)
  Brick at (x=44, y=19, z=2) size=(4x2)
  Brick at (x=14, y=20, z=2) size=(4x2)
  Brick at (x=18, y=20, z=2) size=(4x2)
  Brick at (x=22, y=20, z=2) size=(4x2)
  Brick at (x=26, y=21, z=2) size=(4x2)
  Brick at (x=30, y=21, z=2) size=(4x2)
  Brick at (x=34, y=21, z=2) size=(4x2)
  Brick at (x=38, y=21, z=2) size=(4x2)
  Brick at (x=42, y=21, z=2) size=(4x2)
  Brick at (x=46, y=21, z=2) size=(4x2)
  Brick at (x=13, y=22, z=2) size=(4x2)
  Brick at (x=17, y=22, z=2) size=(4x2)
  Brick at (x=21, y=22, z=2) size=(4x2)
  Brick at (x=25, y=23, z=2) size=(4x2)
  Brick at (x=29, y=23, z=2) size=(4x2)
  Brick at (x=33, y=23, z=2) size=(4x2)
  Brick at (x=37, y=23, z=2) size=(4x2)
  Brick at (x=41, y=23, z=2) size=(4x2)
  Brick at (x=45, y=23, z=2) size=(4x2)
  Brick at (x=49, y=23, z=2) size=(4x2)
  Brick at (x=11, y=24, z=2) size=(4x2)
  Brick at (x=15, y=24, z=2) size=(4x2)
  Brick at (x=19, y=24, z=2) size=(4x2)
  Brick at (x=23, y=25, z=2) size=(4x2)
  Brick at (x=27, y=25, z=2) size=(4x2)
  Brick at (x=31, y=25, z=2) size=(4x2)
  Brick at (x=35, y=25, z=2) size=(4x2)
  Brick at (x=39, y=25, z=2) size=(4x2)
  Brick at (x=43, y=25, z=2) size=(4x2)
  Brick at (x=47, y=25, z=2) size=(4x2)
  Brick at (x=11, y=26, z=2) size=(4x2)
  Brick at (x=15, y=26, z=2) size=(4x2)
  Brick at (x=19, y=26, z=2) size=(4x2)
  Brick at (x=51, y=26, z=2) size=(4x2)
  Brick at (x=23, y=27, z=2) size=(4x2)
  Brick at (x=27, y=27, z=2) size=(4x2)
  Brick at (x=31, y=27, z=2) size=(4x2)
  Brick at (x=35, y=27, z=2) size=(4x2)
  Brick at (x=39, y=27, z=2) size=(4x2)
  Brick at (x=43, y=27, z=2) size=(4x2)
  Brick at (x=47, y=27, z=2) size=(4x2)
  Brick at (x=10, y=28, z=2) size=(4x2)
  Brick at (x=14, y=28, z=2) size=(4x2)
  Brick at (x=18, y=28, z=2) size=(4x2)
  Brick at (x=51, y=28, z=2) size=(4x2)
  Brick at (x=22, y=29, z=2) size=(4x2)
  Brick at (x=26, y=29, z=2) size=(4x2)
  Brick at (x=30, y=29, z=2) size=(4x2)
  Brick at (x=34, y=29, z=2) size=(4x2)
  Brick at (x=38, y=29, z=2) size=(4x2)
  Brick at (x=42, y=29, z=2) size=(4x2)
  Brick at (x=46, y=29, z=2) size=(4x2)
  Brick at (x=10, y=30, z=2) size=(4x2)
  Brick at (x=14, y=30, z=2) size=(4x2)
  Brick at (x=18, y=30, z=2) size=(4x2)
  Brick at (x=50, y=30, z=2) size=(4x2)
  Brick at (x=22, y=31, z=2) size=(4x2)
  Brick at (x=26, y=31, z=2) size=(4x2)
  Brick at (x=30, y=31, z=2) size=(4x2)
  Brick at (x=34, y=31, z=2) size=(4x2)
  Brick at (x=38, y=31, z=2) size=(4x2)
  Brick at (x=42, y=31, z=2) size=(4x2)
  Brick at (x=46, y=31, z=2) size=(4x2)
  Brick at (x=10, y=32, z=2) size=(4x2)
  Brick at (x=14, y=32, z=2) size=(4x2)
  Brick at (x=18, y=32, z=2) size=(4x2)
  Brick at (x=50, y=32, z=2) size=(4x2)
  Brick at (x=22, y=33, z=2) size=(4x2)
  Brick at (x=26, y=33, z=2) size=(4x2)
  Brick at (x=30, y=33, z=2) size=(4x2)
  Brick at (x=34, y=33, z=2) size=(4x2)
  Brick at (x=38, y=33, z=2) size=(4x2)
  Brick at (x=42, y=33, z=2) size=(4x2)
  Brick at (x=46, y=33, z=2) size=(4x2)
  Brick at (x=10, y=34, z=2) size=(4x2)
  Brick at (x=14, y=34, z=2) size=(4x2)
  Brick at (x=18, y=34, z=2) size=(4x2)
  Brick at (x=50, y=34, z=2) size=(4x2)
  Brick at (x=22, y=35, z=2) size=(4x2)
  Brick at (x=26, y=35, z=2) size=(4x2)
  Brick at (x=30, y=35, z=2) size=(4x2)
  Brick at (x=34, y=35, z=2) size=(4x2)
  Brick at (x=38, y=35, z=2) size=(4x2)
  Brick at (x=42, y=35, z=2) size=(4x2)
  Brick at (x=46, y=35, z=2) size=(4x2)
  Brick at (x=10, y=36, z=2) size=(4x2)
  Brick at (x=14, y=36, z=2) size=(4x2)
  Brick at (x=18, y=36, z=2) size=(4x2)
  Brick at (x=50, y=36, z=2) size=(4x2)
  Brick at (x=22, y=37, z=2) size=(4x2)
  Brick at (x=26, y=37, z=2) size=(4x2)
  Brick at (x=30, y=37, z=2) size=(4x2)
  Brick at (x=34, y=37, z=2) size=(4x2)
  Brick at (x=38, y=37, z=2) size=(4x2)
  Brick at (x=42, y=37, z=2) size=(4x2)
  Brick at (x=46, y=37, z=2) size=(4x2)
  Brick at (x=11, y=38, z=2) size=(4x2)
  Brick at (x=15, y=38, z=2) size=(4x2)
  Brick at (x=50, y=38, z=2) size=(4x2)
  Brick at (x=19, y=39, z=2) size=(4x2)
  Brick at (x=23, y=39, z=2) size=(4x2)
  Brick at (x=27, y=39, z=2) size=(4x2)
  Brick at (x=31, y=39, z=2) size=(4x2)
  Brick at (x=35, y=39, z=2) size=(4x2)
  Brick at (x=39, y=39, z=2) size=(4x2)
  Brick at (x=43, y=39, z=2) size=(4x2)
  Brick at (x=12, y=40, z=2) size=(4x2)
  Brick at (x=47, y=40, z=2) size=(4x2)
  Brick at (x=16, y=41, z=2) size=(4x2)
  Brick at (x=20, y=41, z=2) size=(4x2)
  Brick at (x=24, y=41, z=2) size=(4x2)
  Brick at (x=28, y=41, z=2) size=(4x2)
  Brick at (x=32, y=41, z=2) size=(4x2)
  Brick at (x=36, y=41, z=2) size=(4x2)
  Brick at (x=40, y=41, z=2) size=(4x2)
  Brick at (x=44, y=42, z=2) size=(4x2)
  Brick at (x=48, y=42, z=2) size=(4x2)
  Brick at (x=14, y=43, z=2) size=(4x2)
  Brick at (x=18, y=43, z=2) size=(4x2)
  Brick at (x=22, y=43, z=2) size=(4x2)
  Brick at (x=26, y=43, z=2) size=(4x2)
  Brick at (x=30, y=43, z=2) size=(4x2)
  Brick at (x=34, y=43, z=2) size=(4x2)
  Brick at (x=38, y=43, z=2) size=(4x2)
  Brick at (x=42, y=44, z=2) size=(4x2)
  Brick at (x=46, y=44, z=2) size=(4x2)
  Brick at (x=15, y=45, z=2) size=(4x2)
  Brick at (x=19, y=45, z=2) size=(4x2)
  Brick at (x=23, y=45, z=2) size=(4x2)
  Brick at (x=27, y=45, z=2) size=(4x2)
  Brick at (x=31, y=45, z=2) size=(4x2)
  Brick at (x=35, y=45, z=2) size=(4x2)
  Brick at (x=39, y=46, z=2) size=(4x2)
  Brick at (x=43, y=46, z=2) size=(4x2)
  Brick at (x=18, y=47, z=2) size=(4x2)
  Brick at (x=22, y=47, z=2) size=(4x2)
  Brick at (x=26, y=47, z=2) size=(4x2)
  Brick at (x=30, y=47, z=2) size=(4x2)
  Brick at (x=34, y=47, z=2) size=(4x2)
  Brick at (x=38, y=48, z=2) size=(4x2)
